"Part";"Value";"Device";"Package";"Description";"";
"U2";"LM324D";"OPAMP-LM324D";"SOIC-14";"";"";
"U3";"AZ1117CH-ADJTRG1";"DIODES-AZ1117CH-ADJTRG1";"SOT-223";"";"";
"U4";"";"OPAMP-LM324D";"SOIC-14";"";"";
"VR1";"PTD902";"POT-PTD902";"POT-PTD902";"";"";
"VR2";"PTD902";"POT-PTD902";"POT-PTD902";"";"";
"VR3";"PTD902";"POT-PTD902";"POT-PTD902";"";"";
"VR4";"PTD902";"POT-PTD902";"POT-PTD902";"";"";
"VR5";"PTD902";"POT-PTD902";"POT-PTD902";"";"";
"X1";"SJ1-3523N";"AUDIO-3.5-SJ1-3523N";"AUDIO-3.5-SJ1-3523N";"";"";
"X2";"SJ1-3523N";"AUDIO-3.5-SJ1-3523N";"AUDIO-3.5-SJ1-3523N";"";"";
"X3";"SJ1-3523N";"AUDIO-3.5-SJ1-3523N";"AUDIO-3.5-SJ1-3523N";"";"";
"X4";"SJ1-3523N";"AUDIO-3.5-SJ1-3523N";"AUDIO-3.5-SJ1-3523N";"";"";
"X5";"SJ1-353N";"AUDIO-3.5-SJ1-3523N";"AUDIO-3.5-SJ1-3523N";"";"";
"X6";"LED";"HEADER-1X02-2.54POL";"1X02P-2.54";"";"";
